study;.guidance;.type_digital;condition_arm1;condition_arm2;instrument;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;bl_mean_arm1;bl_sd_arm1;bl_n_arm1;bl_mean_arm2;bl_sd_arm2;bl_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;year;age_group;mean_age;percent_women;recruitment;target_group;rob;.g;.g_se
Bouchard, 2017;gsh;VR;cbt;wlc;SIAS;self-report;29,8;13,9;17;49,6;10,2;20;49,2;17,6;17;48,6;13,4;20;17;20;2;4;2017;adul;34,5;0,729;com;adul;High;1,609903616;0,381326554
Bouchard, 2017;gsh;VR;cbt;wlc;SPS;self-report;19,2;12,5;17;38,9;14,6;20;39;16,1;17;33,4;13,9;20;17;20;2;4;2017;adul;34,5;0,729;com;adul;High;1,408972058;0,369928625
Carlbring, 2007;gsh;internet;cbt;wlc;BAI;self-report;8,2;7,9;29;14,5;9;28;14,5;8,1;29;15,1;8,8;28;30;30;2;2;2007;adul;32,64;0,649;com;adul;Some concerns;0,734662478;0,273977983
Carlbring, 2007;gsh;internet;cbt;wlc;LSAS-SR-avoidence;self-report;21,6;12,8;29;33,3;11,9;28;35,2;12,9;29;33,8;11;28;30;30;2;2;2007;adul;32,64;0,649;com;adul;Some concerns;0,933153919;0,27937266
Carlbring, 2007;gsh;internet;cbt;wlc;LSAS-SR-f/a;self-report;24,2;12;29;36,1;12,3;28;36;11,7;29;34,2;10,6;28;30;30;2;2;2007;adul;32,64;0,649;com;adul;Some concerns;0,966150354;0,280382237
Carlbring, 2007;gsh;internet;cbt;wlc;SIAS;self-report;27,1;11,1;29;43,6;14;28;41,3;13,2;29;42,9;12,1;28;30;30;2;2;2007;adul;32,64;0,649;com;adul;Some concerns;1,290840268;0,291928529
Carlbring, 2007;gsh;internet;cbt;wlc;SPS;self-report;20;15;29;37,7;16,4;28;36,2;15,2;29;37,8;16,5;28;30;30;2;2;2007;adul;32,64;0,649;com;adul;Some concerns;1,111741092;0,285205407
Carlbring, 2007;gsh;internet;cbt;wlc;SPSQ;self-report;20,3;9,1;29;32,3;8,9;28;29,7;7,8;29;31,4;9,4;28;30;30;2;2;2007;adul;32,64;0,649;com;adul;Some concerns;1,314721783;0,292887973
Clark, 2023;gsh;internet;cbt;wlc;Social anxiety composite clark;mixed;-1,24;0,84;34;0,64;0,92;34;0,82;0,58;34;0,69;0,67;34;34;34;0;0;2022;adul;32,2;0,52;clin;adul;Low;2,109816032;0,303831406
Furmark, 2009;gsh;internet;cbt;wlc;LSAS-SR;self-report;50,98;21,12;40;70,25;27,25;40;71,3;22,49;40;71,28;24,93;40;40;40;1;1;2009;adul;36,133;0,675;com;adul;Some concerns;0,782827529;0,232174707
Furmark, 2009;gsh;internet;cbt;wlc;SIAS;self-report;39,03;14,03;40;46,58;18,45;40;50,98;14,21;40;46,45;17,9;40;40;40;1;1;2009;adul;36,133;0,675;com;adul;Some concerns;0,456212029;0,226553024
Furmark, 2009;gsh;internet;cbt;wlc;SPS;self-report;25,6;12,22;40;35,6;16,16;40;39,15;15,35;40;36,35;17,1;40;40;40;1;1;2009;adul;36,133;0,675;com;adul;Some concerns;0,69129354;0,230315566
Furmark, 2009;gsh;internet;cbt;wlc;SPSQ;self-report;22,1;8,47;40;29,73;11,83;40;32,18;7,16;40;30,28;10,33;40;40;40;1;1;2009;adul;36,133;0,675;com;adul;Some concerns;0,734479869;0,231165807
Gallego, 2011;ush;internet;cbt;wlc;FNE-B;self-report;34,75;7,44;12;38,09;9,32;11;39,41;9,69;12;41;9,72;11;24;17;11;6;2011;adul;39,29;0,683;com;adul;High;0,383797609;0,421532061
